policy,fault,severity,fault_alarm_rate,clean_far,ratio,wilcoxon_p,suppressed,policy_valid
P1,position_bias,low,0.059833333333333336,0.05474999999999999,1.092846270928463,0.32498847162156586,False,True
P1,position_bias,medium,0.8566666666666667,0.05474999999999999,15.6468797564688,1.8219428783439184e-06,False,True
P1,position_bias,high,0.7730000000000001,0.05474999999999999,14.118721461187219,1.8173798003173758e-06,False,True
P1,position_drift,low,0.03250000000000001,0.05474999999999999,0.5936073059360732,0.0032704981396426414,True,True
P1,position_drift,medium,0.4463333333333333,0.05474999999999999,8.15220700152207,1.8208012136922136e-06,False,True
P1,position_drift,high,0.6348333333333334,0.05474999999999999,11.595129375951295,1.8208012136922136e-06,False,True
P1,speed_bias,low,0.006333333333333333,0.05474999999999999,0.11567732115677322,2.1200645961005904e-06,True,True
P1,speed_bias,medium,0.004666666666666667,0.05474999999999999,0.08523592085235923,3.2984983534545265e-06,True,True
P1,speed_bias,high,0.036833333333333336,0.05474999999999999,0.6727549467275497,0.01106221302325272,True,True
P1,lateral_noise,low,0.03233333333333334,0.05474999999999999,0.5905631659056318,0.013286311350369173,True,True
P1,lateral_noise,medium,0.3746666666666666,0.05474999999999999,6.8432267884322675,2.4723252203262547e-06,False,True
P1,lateral_noise,high,0.5025,0.05474999999999999,9.178082191780822,1.8242279994362676e-06,False,True
P1,speed_stuck,medium,0.013000000000000001,0.05474999999999999,0.23744292237442927,1.2341524924353031e-05,True,True
P1,imu_dropout,medium,0.001,0.05474999999999999,0.018264840182648404,2.6897116394142273e-06,True,True
P3,position_bias,low,0.11450000000000002,0.08158333333333333,1.4034729315628196,0.1204349169511233,False,True
P3,position_bias,medium,0.9278333333333332,0.08158333333333333,11.372829417773238,1.818519674956498e-06,False,True
P3,position_bias,high,0.8788333333333331,0.08158333333333333,10.772216547497445,1.819660146007429e-06,False,True
P3,position_drift,low,0.0795,0.08158333333333333,0.9744637385086824,0.3989847949648554,False,True
P3,position_drift,medium,0.5573333333333335,0.08158333333333333,6.831460674157306,1.8173798003173758e-06,False,True
P3,position_drift,high,0.7255,0.08158333333333333,8.892747701736466,1.8139637527614383e-06,False,True
P3,speed_bias,low,0.009000000000000001,0.08158333333333333,0.11031664964249235,0.007075459862476596,True,True
P3,speed_bias,medium,0.004833333333333334,0.08158333333333333,0.059244126659857003,0.00029445906681602185,True,True
P3,speed_bias,high,0.017166666666666667,0.08158333333333333,0.21041879468845762,0.04094864004089005,True,True
P3,lateral_noise,low,0.3658333333333334,0.08158333333333333,4.484167517875385,2.263346542896727e-05,False,True
P3,lateral_noise,medium,0.9016666666666667,0.08158333333333333,11.05209397344229,1.8242279994362676e-06,False,True
P3,lateral_noise,high,0.9188333333333333,0.08158333333333333,11.262512768130746,1.8219428783439184e-06,False,True
P3,speed_stuck,medium,0.023000000000000003,0.08158333333333333,0.28192032686414714,0.04226326318924656,True,True
P3,imu_dropout,medium,0.212,0.08158333333333333,2.5985699693564865,0.06123180518676852,False,True
P2,position_bias,low,0.13833333333333334,0.04675,2.9590017825311943,0.1955388591039955,False,False
P2,position_bias,medium,0.5208333333333334,0.04675,11.140819964349378,9.763654913053088e-05,False,False
P2,position_bias,high,0.8643333333333332,0.04675,18.488413547237073,2.6165577962089515e-06,False,False
P2,position_drift,low,0.084,0.04675,1.7967914438502675,0.5048798738340916,False,False
P2,position_drift,medium,0.5078333333333334,0.04675,10.862745098039216,4.104665743853708e-06,False,False
P2,position_drift,high,0.6753333333333333,0.04675,14.445632798573975,1.8242279994362676e-06,False,False
P2,speed_bias,low,0.007333333333333333,0.04675,0.1568627450980392,0.1422132419363925,False,False
P2,speed_bias,medium,0.0,0.04675,0.0,0.05905822909053682,False,False
P2,speed_bias,high,0.0,0.04675,0.0,0.05905822909053682,False,False
P2,lateral_noise,low,0.09717391304347825,0.04675,2.0785863752615668,0.6890837465447958,False,False
P2,lateral_noise,medium,0.15155172413793105,0.04675,3.2417481099022685,0.07438293306745791,False,False
P2,lateral_noise,high,0.21620689655172412,0.04675,4.62474645030426,0.014906117768991312,False,False
P2,speed_stuck,medium,0.05583333333333333,0.04675,1.1942959001782532,0.7998461056624733,False,False
P2,imu_dropout,medium,0.11483333333333333,0.04675,2.45632798573975,0.39830459339558755,False,False
