policy,fault,seed,l6_score_clean,l6_score_faulted,l6_shift,l6_threshold,l6_headroom,l6_shift_over_headroom,could_fire
P1,imu_dropout,20260731,3.690792551896855,3.6843309458210194,0.006461606075835569,5.412578837600879,1.7217862857040243,0.003752850240175697,False
P1,imu_dropout,20260732,3.6888981252003954,3.678185882117346,0.010712243083049522,5.4155919679809195,1.726693842780524,0.0062039041419174904,False
P1,imu_dropout,20260733,3.684551102739479,3.6815403386038397,0.0030107641356393877,5.4103874700517585,1.7258363673122794,0.0017445246795489554,False
P1,imu_dropout,20260734,3.685133162102386,3.6786070424253525,0.006526119677033648,5.410935311939038,1.7258021498366523,0.00378149933215192,False
P1,imu_dropout,20260735,3.6857761006494174,3.685023175639951,0.000752925009466221,5.424083517233762,1.7383074165843446,0.0004331368561641802,False
P1,imu_dropout,20260736,3.6864218895813496,3.6701657463695723,0.016256143211777374,5.409291786277199,1.7228698966958498,0.009435502496708366,False
P1,imu_dropout,20260737,3.68792835473963,3.685459900830533,0.0024684539090968904,5.4197007821355205,1.7317724273958905,0.0014253916219285037,False
P1,imu_dropout,20260738,3.688439486170698,3.675724160508545,0.012715325662153276,5.41120923288268,1.7227697467119816,0.007380745852091555,False
P1,imu_dropout,20260739,3.684810992818916,3.6809717457668567,0.0038392470520594024,5.395321818151555,1.7105108253326393,0.0022445032181031607,False
P1,imu_dropout,20260740,3.688781106508047,3.682195325665387,0.006585780842659705,5.41997470307916,1.7311935965711132,0.0038041850753744847,False
P1,speed_stuck,20260731,3.690792551896855,3.6922120634564033,0.0014195115595483365,5.410661390995399,1.719868839098544,0.0008253603573004804,False
P1,speed_stuck,20260732,3.6888981252003954,3.689547872553266,0.000649747352870822,5.429835857050202,1.7409377318498067,0.00037321688247887123,False
P1,speed_stuck,20260733,3.684551102739479,3.684811075789215,0.00025997304973612856,5.429835857050202,1.745284754310723,0.00014895738308262564,False
P1,speed_stuck,20260734,3.685133162102386,3.685170747954386,3.758585199964415e-05,5.42079646591008,1.7356633038076934,2.1655036387062175e-05,False
P1,speed_stuck,20260735,3.6857761006494174,3.685846453755846,7.035310642855563e-05,5.429561936106563,1.7437858354571452,4.034503836310386e-05,False
P1,speed_stuck,20260736,3.6864218895813496,3.6868747228238217,0.0004528332424720283,5.426548805726521,1.7401269161451718,0.0002602300086680863,False
P1,speed_stuck,20260737,3.68792835473963,3.688178247595647,0.0002498928560168423,5.429835857050202,1.7419075023105721,0.00014345931439262372,False
P1,speed_stuck,20260738,3.688439486170698,3.68884915774369,0.0004096715729917655,5.429835857050202,1.741396370879504,0.00023525463808383735,False
P1,speed_stuck,20260739,3.684810992818916,3.6850858605051555,0.0002748676862394106,5.429835857050202,1.745024864231286,0.00015751505429723183,False
P1,speed_stuck,20260740,3.688781106508047,3.689681252777451,0.0009001462694042672,5.427370568557442,1.738589462049395,0.0005177451543639307,False
P1,speed_bias,20260731,3.690792551896855,3.684398390346404,0.006394161550451027,5.41038747005176,1.7195949181549053,0.003718411518284695,False
P1,speed_bias,20260732,3.6888981252003954,3.6838694152560065,0.005028709944388865,5.429835857050202,1.7409377318498067,0.00288850649416719,False
P1,speed_bias,20260733,3.684551102739479,3.686349634722896,0.00179853198341684,5.429835857050202,1.745284754310723,0.0010305091928263285,False
P1,speed_bias,20260734,3.685133162102386,3.685650150579624,0.0005169884772380229,5.429835857050202,1.744702694947816,0.0002963189537879897,False
P1,speed_bias,20260735,3.6857761006494174,3.6840239728466053,0.0017521278028120868,5.429835857050202,1.7440597564007847,0.001004626014895242,False
P1,speed_bias,20260736,3.6864218895813496,3.6831244877835694,0.003297401797780264,5.4276444895010805,1.7412225999197308,0.0018937278886296742,False
P1,speed_bias,20260737,3.68792835473963,3.6846007903698172,0.003327564369812741,5.429835857050202,1.7419075023105721,0.001910299120589846,False
P1,speed_bias,20260738,3.688439486170698,3.6842902074294295,0.0041492787412686916,5.429835857050202,1.741396370879504,0.0023827307847053055,False
P1,speed_bias,20260739,3.684810992818916,3.687063752793466,0.0022527599745498783,5.429835857050202,1.745024864231286,0.0012909615334004186,False
P1,speed_bias,20260740,3.688781106508047,3.684334697592301,0.004446408915745881,5.428192331388361,1.7394112248803144,0.002556272405366264,False
P1,lateral_noise,20260731,3.690792551896855,3.8290917648080245,0.13829921291116953,5.403539446460757,1.7127468945639017,0.08074702301321829,False
P1,lateral_noise,20260732,3.6888981252003954,3.6693452006015526,0.019552924598842836,5.4098396281644785,1.720941502964083,0.011361760155801714,False
P1,lateral_noise,20260733,3.684551102739479,3.6890384053438323,0.0044873026043532604,5.412578837600879,1.7280277348614002,0.0025967769578149587,False
P1,lateral_noise,20260734,3.685133162102386,3.9011910423719303,0.2160578802695441,5.412578837600879,1.727445675498493,0.12507361784745893,False
P1,lateral_noise,20260735,3.6857761006494174,3.9352823302930346,0.24950622964361724,5.412030995713598,1.726254895064181,0.14453614605642626,False
P1,lateral_noise,20260736,3.6864218895813496,3.7982317049976224,0.11180981541627277,5.407100418728078,1.7206785291467281,0.06498007240882958,False
P1,lateral_noise,20260737,3.68792835473963,4.019308050316537,0.3313796955769073,5.409565707220838,1.721637352481208,0.19247938312869772,False
P1,lateral_noise,20260738,3.688439486170698,4.0005429435110536,0.3121034573403554,5.406552576840798,1.7181130906700997,0.18165478107068528,False
P1,lateral_noise,20260739,3.684810992818916,3.6675363114546293,0.01727468136428678,5.412304916657239,1.7274939238383227,0.009999850723586992,False
P1,lateral_noise,20260740,3.688781106508047,3.664040501984756,0.024740604523290965,5.410935311939038,1.7221542054309915,0.014366079672348103,False
P2,imu_dropout,20260731,4.47754456726936,4.09655179282306,0.3809927744463,5.408743944389919,0.9311993771205582,0.40914199881060975,False
P2,imu_dropout,20260732,4.4965953992696805,4.145098750336551,0.3514966489331295,5.407648260615358,0.9110528613456772,0.3858136710244769,False
P2,imu_dropout,20260733,5.6240527366345665,4.645256940175627,0.9787957964589395,5.410113549108119,-0.21393918752644758,nan,True
P2,imu_dropout,20260734,5.555243047410046,5.512398374317686,0.04284467309235929,5.42107038685372,-0.1341726605563256,nan,True
P2,imu_dropout,20260735,5.545962255428066,5.821623627861754,0.2756613724336887,5.402443762686196,-0.14351849274186979,nan,True
P2,imu_dropout,20260736,5.493594934373237,5.51350952906794,0.01991459469470236,5.398061027587958,-0.0955339067852794,nan,True
P2,imu_dropout,20260737,5.566280412852985,5.569508347236161,0.0032279343831760343,5.406278655897158,-0.1600017569558263,nan,True
P2,imu_dropout,20260738,5.166255725232572,4.038361407835894,1.1278943173966782,5.4161398098682,0.24988408463562806,4.513670084436682,True
P2,imu_dropout,20260739,4.773245174728476,3.4555904490600344,1.3176547256684419,5.41120923288268,0.6379640581542034,2.06540589368116,True
P2,imu_dropout,20260740,4.7893325626728025,4.483380145856134,0.30595241681666874,5.41120923288268,0.6218766702098772,0.49198246448674915,False
P2,speed_stuck,20260731,4.47754456726936,4.160489449660442,0.317055117608918,5.406004734953518,0.9284601676841575,0.3414848893299787,False
P2,speed_stuck,20260732,4.4965953992696805,4.139242486223506,0.35735291304617434,5.41175707476996,0.9151616755002792,0.39048063594973537,False
P2,speed_stuck,20260733,5.6240527366345665,4.421488146511429,1.2025645901231377,5.41120923288268,-0.21284350375188676,nan,True
P2,speed_stuck,20260734,5.555243047410046,5.87813084749402,0.3228878000839748,5.4150441260936395,-0.1401989213164061,nan,True
P2,speed_stuck,20260735,5.545962255428066,5.53960746402734,0.006354791400725368,5.416413730811839,-0.12954852461622668,nan,True
P2,speed_stuck,20260736,5.493594934373237,5.754085736748639,0.26049080237540156,5.4098396281644785,-0.08375530620875882,nan,True
P2,speed_stuck,20260737,5.566280412852985,5.572753208819043,0.006472795966057987,5.414222363262719,-0.15205804959026548,nan,True
P2,speed_stuck,20260738,5.166255725232572,4.15022298618336,1.016032739049212,5.41120923288268,0.24495350765010748,4.147859521573037,True
P2,speed_stuck,20260739,4.773245174728476,4.1365754339526015,0.6366697407758748,5.41120923288268,0.6379640581542034,0.9979711750814404,False
P2,speed_stuck,20260740,4.7893325626728025,4.182372305985559,0.6069602566872438,5.408470023446277,0.6191374607734748,0.9803319862587249,False
P2,speed_bias,20260731,4.47754456726936,4.1992528959857305,0.27829167128362986,5.416413730811839,0.9388691635424786,0.29641155774421035,False
