seed,policy,fault,severity,stage,metric,D_s,A_f,unique_absorption,veto_rate,mean_speed,validity,invalid_reason,git_commit
20260731,P1,speed_stuck,hold,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.007500,10.6195,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",1.000000,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.507825,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.692250,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.503588,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.694725,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,speed_bias,3.0 m/s,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,False,0.007500,10.2287,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,lateral_noise,sigma x25,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.995050,,False,0.340000,7.9291,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,lateral_noise,sigma x25,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.981500,,False,0.340000,7.9291,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,lateral_noise,sigma x25,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.905713,,False,0.340000,7.9291,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,lateral_noise,sigma x25,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.981437,,False,0.340000,7.9291,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,lateral_noise,sigma x25,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.702975,,False,0.340000,7.9291,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,lateral_noise,sigma x25,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.832500,,False,0.340000,7.9291,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260731,P1,lateral_noise,sigma x25,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.870000,,False,0.340000,7.9291,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,imu_dropout,suppress IMU,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.997500,L7,False,0.022500,6.1868,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,imu_dropout,suppress IMU,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.833825,L7,False,0.022500,6.1868,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,imu_dropout,suppress IMU,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.755050,L7,False,0.022500,6.1868,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,imu_dropout,suppress IMU,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.833562,L7,False,0.022500,6.1868,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,imu_dropout,suppress IMU,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.778250,L7,False,0.022500,6.1868,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,imu_dropout,suppress IMU,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.502500,L7,False,0.022500,6.1868,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,imu_dropout,suppress IMU,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.987500,L7,False,0.022500,6.1868,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_bias,1.0 m,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",1.000000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_bias,1.0 m,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_bias,1.0 m,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_bias,1.0 m,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_bias,1.0 m,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_bias,1.0 m,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_bias,1.0 m,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260732,P1,position_drift,2.0 m final,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.962213,L2a,True,0.020000,10.9064,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
