policy,fault,severity,stage,n,mean,median,sd,ci_lo,ci_hi,min,max,validity
P2,position_bias,1.0 m,L3,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P2,position_bias,1.0 m,L6,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P2,position_bias,1.0 m,L7,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P2,position_bias,1.0 m,L8,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P2,position_drift,2.0 m final,L1,30,0.969418,0.969512,0.006030,0.966413,0.971475,0.959363,0.982263,INVALID
P2,position_drift,2.0 m final,L2a,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P2,position_drift,2.0 m final,L2b,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P2,position_drift,2.0 m final,L3,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P2,position_drift,2.0 m final,L6,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P2,position_drift,2.0 m final,L7,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P2,position_drift,2.0 m final,L8,30,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,INVALID
P2,speed_stuck,hold,L1,30,0.822000,0.875000,0.164659,0.707500,0.950000,0.527500,0.997500,VALID
P2,speed_stuck,hold,L2a,30,0.713873,0.673000,0.126439,0.646338,0.721988,0.521737,0.969487,VALID
P2,speed_stuck,hold,L2b,30,0.595861,0.551988,0.109459,0.532312,0.593487,0.504988,0.942863,VALID
P2,speed_stuck,hold,L3,30,0.713952,0.672544,0.126223,0.646602,0.721919,0.517713,0.969912,VALID
P2,speed_stuck,hold,L6,30,0.738353,0.720687,0.171088,0.592888,0.824500,0.509337,0.992138,VALID
P2,speed_stuck,hold,L7,30,0.557583,0.511250,0.077408,0.500000,0.550000,0.500000,0.722500,VALID
P2,speed_stuck,hold,L8,30,0.521917,0.500000,0.050671,0.500000,0.502500,0.500000,0.702500,VALID
P2,speed_bias,3.0 m/s,L1,30,0.867797,1.000000,0.194437,0.704980,1.000000,0.506350,1.000000,VALID
P2,speed_bias,3.0 m/s,L2a,30,0.615016,0.597337,0.106293,0.586000,0.607550,0.511500,0.975975,VALID
P2,speed_bias,3.0 m/s,L2b,30,0.565391,0.542075,0.064294,0.525300,0.561862,0.505925,0.740875,VALID
P2,speed_bias,3.0 m/s,L3,30,0.619861,0.602775,0.107575,0.595762,0.614362,0.504212,0.981962,VALID
P2,speed_bias,3.0 m/s,L6,30,0.863402,0.993788,0.195088,0.842950,1.000000,0.505300,1.000000,VALID
P2,speed_bias,3.0 m/s,L7,30,0.655417,0.680000,0.071227,0.637500,0.702500,0.502500,0.757500,VALID
P2,speed_bias,3.0 m/s,L8,30,0.517583,0.500000,0.043463,0.500000,0.505000,0.500000,0.710000,VALID
P2,lateral_noise,sigma x25,L1,30,0.963960,0.991025,0.049839,0.956854,0.999262,0.833050,1.000000,VALID
P2,lateral_noise,sigma x25,L2a,30,0.895043,0.944813,0.090897,0.846550,0.961413,0.676700,0.995275,VALID
P2,lateral_noise,sigma x25,L2b,30,0.654585,0.532094,0.180699,0.519275,0.731925,0.500000,0.989125,VALID
P2,lateral_noise,sigma x25,L3,30,0.886495,0.943919,0.105789,0.839612,0.961444,0.608062,0.995287,VALID
P2,lateral_noise,sigma x25,L6,30,0.849210,0.916550,0.143395,0.820600,0.935625,0.527325,0.991850,VALID
P2,lateral_noise,sigma x25,L7,30,0.537083,0.502500,0.059426,0.500000,0.502500,0.500000,0.700000,VALID
