seed,policy,fault,severity,A_f,unique_absorption,threshold_crossings,veto_rate,mean_speed,failure_status,validity
20260742,P1,lateral_noise,sigma x25,,False,0,0.345000,7.8141,ok,VALID
20260743,P1,imu_dropout,suppress IMU,L2b,False,4,0.025000,5.8488,ok,VALID
20260743,P1,position_bias,1.0 m,L2a,True,1,0.030000,10.4007,ok,INVALID
20260743,P1,position_drift,2.0 m final,L2a,True,1,0.030000,10.4007,ok,INVALID
20260743,P1,speed_stuck,hold,L2a,True,1,0.030000,10.4333,ok,VALID
20260743,P1,speed_bias,3.0 m/s,L2a,False,5,0.030000,10.0590,ok,VALID
20260743,P1,lateral_noise,sigma x25,L6,False,2,0.510000,7.1447,ok,VALID
20260744,P1,imu_dropout,suppress IMU,L2b,False,2,0.190000,5.7905,ok,VALID
20260744,P1,position_bias,1.0 m,L2a,True,1,0.007500,10.4075,ok,INVALID
20260744,P1,position_drift,2.0 m final,L2a,True,1,0.007500,10.4075,ok,INVALID
20260744,P1,speed_stuck,hold,L2a,True,1,0.010000,10.4476,ok,VALID
20260744,P1,speed_bias,3.0 m/s,L2a,False,5,0.010000,10.0639,ok,VALID
20260744,P1,lateral_noise,sigma x25,L6,False,2,0.487500,7.1015,ok,VALID
20260745,P1,imu_dropout,suppress IMU,L7,False,2,0.045000,6.6927,ok,VALID
20260745,P1,position_bias,1.0 m,L2a,True,1,0.025000,11.6847,ok,INVALID
20260745,P1,position_drift,2.0 m final,L2a,True,1,0.025000,11.6847,ok,INVALID
20260745,P1,speed_stuck,hold,L2a,True,1,0.025000,11.7167,ok,VALID
20260745,P1,speed_bias,3.0 m/s,L2a,False,5,0.025000,11.3223,ok,VALID
20260745,P1,lateral_noise,sigma x25,L6,False,2,0.310000,9.3673,ok,VALID
20260746,P1,imu_dropout,suppress IMU,L7,False,2,0.072500,7.6437,ok,VALID
20260746,P1,position_bias,1.0 m,L2a,True,1,0.035000,12.8974,ok,INVALID
20260746,P1,position_drift,2.0 m final,L2a,True,1,0.035000,12.8974,ok,INVALID
20260746,P1,speed_stuck,hold,L2a,True,1,0.035000,12.8942,ok,VALID
20260746,P1,speed_bias,3.0 m/s,L2a,False,3,0.035000,12.5243,ok,VALID
20260746,P1,lateral_noise,sigma x25,,False,0,0.357500,9.6916,ok,VALID
20260747,P1,imu_dropout,suppress IMU,,False,0,0.462500,5.6202,ok,VALID
20260747,P1,position_bias,1.0 m,L2a,True,1,0.067500,10.1612,ok,INVALID
20260747,P1,position_drift,2.0 m final,L2a,True,1,0.067500,10.1612,ok,INVALID
20260747,P1,speed_stuck,hold,L2a,True,1,0.070000,10.2055,ok,VALID
20260747,P1,speed_bias,3.0 m/s,L2a,False,5,0.070000,9.8309,ok,VALID
20260747,P1,lateral_noise,sigma x25,L6,False,2,0.295000,7.9555,ok,VALID
20260748,P1,imu_dropout,suppress IMU,L7,False,2,0.035000,6.4830,ok,VALID
20260748,P1,position_bias,1.0 m,L2a,True,1,0.017500,11.3016,ok,INVALID
